번호,구분,계약명,계약금액,계약일,계약상대자
1,구매/기타,"(체육진흥원-시체육회)테니스부 훈련용품(스트링,시합구) 구매",3300000,2021-12-12,(주)TFK티에프케이
2,구매/기타,[일반수용비] 소모품(화상회의용 웹캠 및 헤드셋) 구입 비용 지출,107000,2021-12-10,카드구매
3,구매/기타,컴퓨터공학부 실습재료(아두이노보드 외 5종) 구입비 지출,52605,2021-12-10,카드구매
4,구매/기타,캠퍼스기획과 사무용품 구매,100000,2021-12-10,카드구매
5,구매/기타,재무회계팀 사무실 소모품(사무용품) 구입,437490,2021-12-10,카드구매
6,구매/기타,공공의대 설립 서명운동 전동차 내 홍보를 위한 홍보물 제작,946000,2021-12-10,카드구매
7,구매/기타,2021-2학기 창업프로젝트 실습(2) 실험실습비 지출(8차),749900,2021-12-10,카드구매
8,구매/기타,[정보전산과] 네트워크 및 전산용품 견적의뢰,2074470,2021-12-10,카드구매
9,구매/기타,ICP Standard Solution 구매,888690,2021-12-10,(주)성창사이언스
10,구매/기타,안전공학과 실험실습재료 구입요구(32),108120,2021-12-10,카드구매
11,구매/기타,인력개발팀 부서운영을 위한 소모품 구매,53100,2021-12-10,카드구매
12,구매/기타,취업경력개발원 스티커 제작 구매,101600,2021-12-10,카드구매
13,구매/기타,(체육진흥원) 응원단 (커플리온스) 부츠 구매,2200000,2021-12-10,스타릭
14,구매/기타,[국제개발협력센터] 부서운영 다과구입(드립백 커피),99420,2021-12-09,카드구매
15,구매/기타,[산업경영공학과]소모품 구입(27),1743000,2021-12-09,카드구매
16,구매/기타,[국제개발협력센터] 부서운영 다과구입(캡슐커피),85600,2021-12-09,카드구매
17,구매/기타,경영대학(원) 회의실 운영 물품 구입(클리어화일 등),105610,2021-12-09,카드구매
18,구매/기타,컴퓨터공학부 실습재료(화상카메라) 구입비 지출,189000,2021-12-09,카드구매
19,구매/기타,[문헌정보학과] 수업용 재료 구입_21.12.07(마스크),96500,2021-12-09,카드구매
20,구매/기타,국비)코로나19 극복을 위한 힐링 화분나눔 행사 구매(마스크),2000000,2021-12-09,카드구매
21,구매/기타,인력개발팀 부서운영을 위한 복사용지 구매,89000,2021-12-09,카드구매
22,구매/기타,대학홍보 도서 구입,150000,2021-12-09,굿플러스커뮤니케이션즈
23,구매/기타,컴퓨터공학부 실습재료(센서모듈 외 6종) 구입비 지출,252540,2021-12-09,카드구매
24,구매/기타,무역학부 실험실습재료 구입,1520000,2021-12-09,카드구매
25,구매/기타,[전자공학과] 2021-2 PBL교과목(캡스턴디자인) 운영에 따른 재료 구입(2차),799728,2021-12-09,카드구매
26,구매/기타,경영대학(원) 교학실 부서운영 물품 구입(모니터받침대 등),77637,2021-12-09,카드구매
27,구매/기타,국비)코로나19 극복을 위한 힐링 화분나눔 행사 구매,2000000,2021-12-09,카드구매
28,구매/기타,국비)코로나19 극복을 위한 힐링 화분나눔 행사 구매(인쇄),500000,2021-12-09,카드구매
29,구매/기타,(생명과학기술대)소모품(청소포 등) 구입,47650,2021-12-09,카드구매
30,구매/기타,기자재 가스 구입(유성특수가스_액체질소),1760000,2021-12-09,카드구매
31,구매/기타,"[예술체육대학 교학실] 학장실, 교학실 가습기 구매[202100007520,7588] [유찰 건]",196000,2021-12-08,카드구매
32,구매/기타,공과대학 홍보기념품(수저세트) 제작비 지출,2145000,2021-12-08,카드구매
33,구매/기타,(일반대학원)사무용품 구입,405000,2021-12-08,카드구매
34,구매/기타,[메카] 2021-2학기 PBL 교과목 운영에 따른 재료 구입(11월),245490,2021-12-08,카드구매
35,구매/기타,기계공학과 수업용 소모품 구입(20211208),101000,2021-12-08,카드구매
36,구매/기타,[도시건축학부]실험실습재료 구입(록타이트),260400,2021-12-08,카드구매
37,구매/기타,[도시공학과] 실험실습재료 구입_USB마이크 외 2종,323200,2021-12-08,카드구매
