번호,구분,계약명,계약금액,계약일,계약상대자
1,구매/기타,"(체육진흥원-시체육회)테니스부 훈련용품(스트링,시합구) 구매",3300000,2021-12-12,(주)TFK티에프케이
2,구매/기타,교수학습지원팀 구매 물품 견적 의뢰,108000,2021-12-12,카드구매
3,구매/기타,(체육진흥원) 응원단 (커플리온스) 부츠 구매,2200000,2021-12-10,스타릭
4,구매/기타,2021-2학기 창업프로젝트 실습(2) 실험실습비 지출(8차),749900,2021-12-10,카드구매
5,구매/기타,[정보전산과] 네트워크 및 전산용품 견적의뢰,2074470,2021-12-10,카드구매
6,구매/기타,재무회계팀 사무실 소모품(사무용품) 구입,437490,2021-12-10,카드구매
7,자산,"보건진료소 회의용 테이블, 의자 구입",803000,2021-12-10,카드구매
8,구매/기타,ICP Standard Solution 구매,888690,2021-12-10,(주)성창사이언스
9,구매/기타,캠퍼스기획과 사무용품 구매,100000,2021-12-10,카드구매
10,구매/기타,안전공학과 실험실습재료 구입요구(32),108120,2021-12-10,카드구매
11,구매/기타,인력개발팀 부서운영을 위한 소모품 구매,53100,2021-12-10,카드구매
12,구매/기타,취업경력개발원 스티커 제작 구매,101600,2021-12-10,카드구매
13,구매/기타,[일반수용비] 소모품(화상회의용 웹캠 및 헤드셋) 구입 비용 지출,107000,2021-12-10,카드구매
14,구매/기타,컴퓨터공학부 실습재료(아두이노보드 외 5종) 구입비 지출,52605,2021-12-10,카드구매
15,구매/기타,경영학부 실험실습비 지출을 위한 구입 요청(2021.12.08),3024800,2021-12-10,카드구매
16,구매/기타,공공의대 설립 서명운동 전동차 내 홍보를 위한 홍보물 제작,946000,2021-12-10,카드구매
17,구매/기타,경영대학(원) 회의실 운영 물품 구입(클리어화일 등),105610,2021-12-09,카드구매
18,구매/기타,기자재 가스 구입(유성특수가스_액체질소),1760000,2021-12-09,카드구매
19,구매/기타,[국제개발협력센터] 부서운영 다과구입(캡슐커피),85600,2021-12-09,카드구매
20,구매/기타,무역학부 실험실습재료 구입,1520000,2021-12-09,카드구매
21,구매/기타,[전자공학과] 2021-2 PBL교과목(캡스턴디자인) 운영에 따른 재료 구입(2차),799728,2021-12-09,카드구매
22,구매/기타,인력개발팀 부서운영을 위한 복사용지 구매,89000,2021-12-09,카드구매
23,구매/기타,대학홍보 도서 구입,150000,2021-12-09,굿플러스커뮤니케이션즈
24,자산,재무회계팀 부서운영 비품 구입(전자레인지),54160,2021-12-09,카드구매
25,용역,제물포캠퍼스 성지관 변전실 전기 작업,2090000,2021-12-09,(주)광양테크윈
26,구매/기타,경영대학(원) 교학실 부서운영 물품 구입(모니터받침대 등),77637,2021-12-09,카드구매
27,구매/기타,국비)코로나19 극복을 위한 힐링 화분나눔 행사 구매,2000000,2021-12-09,카드구매
28,용역,[고교교육기여대학지원사업] 2021 학생부종합 모의전형 운영을 위한 면접가이드북 제작,3080000,2021-12-09,카드구매
29,구매/기타,컴퓨터공학부 실습재료(센서모듈 외 6종) 구입비 지출,252540,2021-12-09,카드구매
30,구매/기타,컴퓨터공학부 실습재료(화상카메라) 구입비 지출,189000,2021-12-09,카드구매
31,구매/기타,[문헌정보학과] 수업용 재료 구입_21.12.07(마스크),96500,2021-12-09,카드구매
32,용역,송도캠퍼스 생활원 냉난방 고정압(FCU) 교체수리,2926000,2021-12-09,카드구매
33,구매/기타,국비)코로나19 극복을 위한 힐링 화분나눔 행사 구매(마스크),2000000,2021-12-09,카드구매
34,구매/기타,(생명과학기술대)소모품(청소포 등) 구입,47650,2021-12-09,카드구매
35,구매/기타,[산업경영공학과]소모품 구입(27),1743000,2021-12-09,카드구매
36,용역,실험 폐콘크리트 건축폐기물 처리,110000,2021-12-09,동아개발 (주)
37,구매/기타,[국제개발협력센터] 부서운영 다과구입(드립백 커피),99420,2021-12-09,카드구매
38,구매/기타,국비)코로나19 극복을 위한 힐링 화분나눔 행사 구매(인쇄),500000,2021-12-09,카드구매
39,구매/기타,실내 화분관리용 소모품 구매(화분받침),109700,2021-12-08,카드구매
40,용역,미래관 2층 1구역 방화셔터 보수작업,1837000,2021-12-08,(주)대원소방엔지니어링
41,구매/기타,[도시공학과] 실험실습재료 구입_USB마이크 외 2종,323200,2021-12-08,카드구매
42,자산,[안전공학과]2021년도 교육용기자재 구입요구(연소현상계측 및 연소공학 강의용 컴퓨팅시스템),9907000,2021-12-08,(주)올인원시스템
43,구매/기타,[해양학과] 자연과학대학 캡스톤디자인 실험실습비 지출 요청(HPLC syringes 1750RNR Hamilton 20890-U 등)),198220,2021-12-08,카드구매
44,구매/기타,[예술체육대학 디자인학부] 재료비(리소잉크)구입,3124000,2021-12-08,카드구매
45,구매/기타,[전자] 실험실습재료 구매 요청 16,1012000,2021-12-08,카드구매
46,구매/기타,2021학년도 전기 졸업증서(학위증) 케이스 및 내지 제작,8155400,2021-12-08,청운기획
47,구매/기타,패션산업학과 실험실습재료 구매 (평량병),159500,2021-12-08,카드구매
48,구매/기타,[해양학과] 자연과학대학 실험실습비 지출 요청(50ml pipet 외 ),468490,2021-12-08,카드구매
49,구매/기타,[메카] 2021-2학기 PBL 교과목 운영에 따른 재료 구입(11월),245490,2021-12-08,카드구매
50,구매/기타,기계공학과 수업용 소모품 구입(20211208),101000,2021-12-08,카드구매
51,구매/기타,(나노바이오전공)소모품(A4복사용지) 구입,110000,2021-12-08,카드구매
52,구매/기타,2022학년도 정시 대학입학정보박람회 참가에 따른 비품 구입,21000,2021-12-08,카드구매
53,구매/기타,비도서(DVD) 신간자료 구입(3차) 지출 의뢰,1496160,2021-12-08,우전미디어
54,구매/기타,[신소재공학과] 실험실습재료 구입요구 #33 (계좌이체),330000,2021-12-08,창조엔지니어링
55,구매/기타,컴퓨터공학부 실습재료(라즈베리파이) 구입비 지출,230978,2021-12-08,카드구매
56,구매/기타,세무회계학과 조명스탠드 및 젠더(애플) 소모품 견적 요청,479600,2021-12-08,카드구매
57,구매/기타,[메카트로닉스공학과] 2021년 EATED 프로그램 재료비 지출(11월),117102,2021-12-08,카드구매
58,구매/기타,"[국제개발협력센터] 부서운영 사무용품 구입(펜, 인주 등)",155700,2021-12-08,카드구매
59,구매/기타,[예술체육대학 공연예술학과] 수업재료(A4용지) 구입,95880,2021-12-08,카드구매
60,자산,사회과학대학 학생회 비품 구입,1712920,2021-12-08,카드구매
61,용역,송도캠퍼스 사회대학 냉난방 순환펌프 수리,1311200,2021-12-08,카드구매
62,구매/기타,수학과 2021년 학부생 연구실 체험 지원 사업(2차) 실험실습비 지출_이윤복 교수님 연구실,583100,2021-12-08,카드구매
63,구매/기타,[기계공학과] 2021-2학기 PBL 교과목 재료 구입_11월(2)(수정),2325819,2021-12-08,카드구매
64,구매/기타,[도시공학과] 실험실습재료 구입_토탈스테이션 배터리SBT-65Q,990000,2021-12-08,카드구매
65,구매/기타,"[예술체육대학 교학실] 학장실, 교학실 가습기 구매[202100007520,7588] [유찰 건]",196000,2021-12-08,카드구매
66,구매/기타,공과대학 소모품 구입(간이책꽂이),20800,2021-12-08,카드구매
67,구매/기타,(일반대학원)사무용품 구입,405000,2021-12-08,카드구매
68,구매/기타,[기계공학과] 2021-2학기 PBL 교과목 재료 구입_11월,2136379,2021-12-08,카드구매
69,구매/기타,공과대학 홍보기념품(수저세트) 제작비 지출,2145000,2021-12-08,카드구매
70,구매/기타,[도시건축학부]실험실습재료 구입(록타이트),260400,2021-12-08,카드구매
71,구매/기타,[대학혁신]스마트랩 회의 행사 소모품 구입,270000,2021-12-07,카드구매
72,구매/기타,(에너지화학공학과) EATED 재료비 지출(12월),286290,2021-12-07,카드구매
73,구매/기타,(생명과학전공)실험실습재료(포충망 외 3종) 구입,1064690,2021-12-07,카드구매
74,구매/기타,[국어국문] 수업용 재료비 지출(교수연구실 소모품 2차),1106000,2021-12-07,카드구매
75,구매/기타,[신소재공학과] 실험실습재료 구입요구 #31,389400,2021-12-07,카드구매
76,구매/기타,회의용 소모품 구매 신청,74700,2021-12-07,카드구매
77,구매/기타,취업경력개발원 홍보물품 구매,1548000,2021-12-07,카드구매
78,구매/기타,(나노바이오전공)소모품(토너회수통 외 4종) 구입,484000,2021-12-07,카드구매
79,구매/기타,(분자의생명전공)실험실습재료(SmGM-2 bulletkit) 구입,2772000,2021-12-07,카드구매
80,자산,[대학혁신]대학혁신사업단 교육공간 음향기자재 구매,2189000,2021-12-07,카드구매
81,구매/기타,2021년 안전공학과 PBL 교과목 운영에 따른 재료 구입(12월),1247710,2021-12-07,카드구매
82,구매/기타,[예술체육대학 공연예술학과] 수업재료(크로마키외 1종) 구입,96000,2021-12-07,카드구매
83,구매/기타,컴퓨터공학부 실습재료(Beacon) 구입비 지출,133320,2021-12-07,카드구매
84,구매/기타,(생명과학전공)실험실습재료(T-175 Flask 외 2종) 구입,1100000,2021-12-07,카드구매
85,구매/기타,(정보통신공학과)2021학년도 2학기 실험실습재료 구입,428380,2021-12-07,카드구매
86,구매/기타,인천학연구원 소모품 구입비 지출 건,298900,2021-12-07,카드구매
87,구매/기타,2022학년도 대학입학전형관리위원회용 의사봉 구입,51250,2021-12-07,카드구매
88,구매/기타,(전기공)2021학년도 2학기 PBL교과목(캡스톤)재료비 지출요청_10월,2445907,2021-12-07,카드구매
89,구매/기타,상패제작,387000,2021-12-07,카드구매
90,구매/기타,2021-2학기 창업프로젝트 실습(2) 실험실습비 지출(7차),317000,2021-12-07,카드구매
91,구매/기타,대외전략 운영 물품 구입,1046500,2021-12-07,카드구매
92,구매/기타,[전자] 실험실습재료 견적 요청 15,2510750,2021-12-07,카드구매
93,구매/기타,(생명과학전공)실험실습재료(물티슈 외 2종) 구입,97400,2021-12-07,카드구매
94,구매/기타,(체육진흥원)사무용품(고무줄 등) 구입,20500,2021-12-07,카드구매
95,구매/기타,2022년도 외국학술지 구입 계약 의뢰,14831000,2021-12-07,(주)엠제이에스인터네셔날
96,구매/기타,안전공학과 실험실습재료 구입요구(31),104700,2021-12-07,카드구매
97,자산,[영어영문] 교육용 기자재 구입_전자칠판 외,14294700,2021-12-07,코워베이직
98,구매/기타,[예술체육대학 디자인학부] 수용비(블루투스 동글) 구입,96200,2021-12-07,카드구매
99,구매/기타,(신소재공학과)2021학년도 2학기 실험실습재료 구입,140800,2021-12-07,카드구매
100,자산,[건설환경공학전공]교수 행정용 PC본체 구입(심형보 교수),870000,2021-12-07,카드구매
101,구매/기타,[대학혁신]2021년 재래시장 프로젝트 시상품 구매,2900000,2021-12-07,카드구매
102,자산,[건설환경공학전공]교수 행정용 모니터 구입(심형보 교수),288000,2021-12-07,카드구매
103,구매/기타,[대학혁신]스마트랩 회의 행사 소모품 구입,228800,2021-12-07,카드구매
104,구매/기타,교무과 부서운영에 필요한 물품 구입(명함),100000,2021-12-06,카드구매
105,구매/기타,(생명과학전공)실험실습재료(마이크) 구입,128000,2021-12-06,카드구매
106,구매/기타,(체육진흥원-2021대학운동부평가및지원사업)축구부 훈련용품(땀복등) 구매,3150000,2021-12-06,핀타코리아
107,구매/기타,(전기공)2021 공과대학 EATED프로그램 지출요청_11월,828595,2021-12-06,카드구매
108,구매/기타,사회복지학과 물품 구입(학과 편지봉투 제작),165000,2021-12-06,카드구매
109,구매/기타,[산업경영공학과]실험실습재료 구입(30),630000,2021-12-06,카드구매
110,용역,안내사인 제작 및 수정(13호관 안내판 수정 등),719400,2021-12-06,영일사
111,구매/기타,[국제개발협력센터] 부서운영 다과구입,69220,2021-12-06,카드구매
112,구매/기타,임베디드시스템공학과 펌웨어및디바이스드라이버개발 재료 구입,39100,2021-12-06,카드구매
113,구매/기타,기계공학과 수업용 소모품 구입(2021202),52800,2021-12-06,카드구매
114,구매/기타,[예술체육대학 디자인학부] 재료비(잉크 4종) 지출,279000,2021-12-06,카드구매
115,자산,(생명과학전공)교육용기자재(Educarional microscopes :DM500) 구입,9900000,2021-12-06,신우엘에스
116,구매/기타,2022 해외전자정보 OUP 외 2종 구독요금 지출,43303000,2021-12-06,EBSCO INTERNATIONAL
117,구매/기타,(화학과)2021학년도 2학기 실험실습재료 구입,384000,2021-12-06,카드구매
118,구매/기타,[동북아물류대학원]MOU 체결 명패 제작 요청,105000,2021-12-06,카드구매
119,구매/기타,(디자인학과)2021학년도 2학기 실험실습재료 구입,62200,2021-12-06,카드구매
120,구매/기타,[국제개발협력센터] 부서운영 사무용품 구입,228000,2021-12-06,카드구매
121,구매/기타,전기공학과 실험실습재료 구입요구(29),505000,2021-12-06,카드구매
122,구매/기타,"[고교교육기여대학지원사업] 2021 고교맞춤컨설팅(하반기) 자료집, 방역키트 등 제작 및 구매",1963500,2021-12-06,카드구매
123,구매/기타,건축 유지관리 소모품 구매,1447600,2021-12-06,카드구매
124,구매/기타,(체육진흥원)사무용품(걸이용압핀) 구입,3800,2021-12-06,카드구매
125,구매/기타,[국제개발협력센터] 부서운영 사무용품 구입,193900,2021-12-06,카드구매
126,구매/기타,2022 해외전자정보 MLA 외 1종 구독요금 지출,72791000,2021-12-06,EBSCO INTERNATIONAL
127,구매/기타,중국학술원 사무용품 구매,469600,2021-12-06,카드구매
128,구매/기타,[문화자치위원회]11월 소모품 구입,1276100,2021-12-06,카드구매
129,구매/기타,2022 해외전자정보 Springer eJournal(STM) 구독요금 지출,46333000,2021-12-06,스프링거(Springer)
130,구매/기타,[예술체육대학 운동건강학부] 자기설계세미나2 도서 구입,277400,2021-12-06,카드구매
131,구매/기타,[환경공학전공]실험실습비(컬러토너),1194300,2021-12-05,카드구매
132,구매/기타,교육혁신원 구매 물품 견적 의뢰,294000,2021-12-05,카드구매
133,구매/기타,[도시건축학부]실험실습재료 구입(연질아크릴 1T),102500,2021-12-05,카드구매
134,구매/기타,부서운영 사무용품 구입,316700,2021-12-03,카드구매
135,자산,[건설환경공학전공]교수 행정용 모니터 구입(안정규 교수),299000,2021-12-03,카드구매
136,구매/기타,명함 제작,100000,2021-12-03,카드구매
137,구매/기타,트라이버시티 소모품 구매(a4 등),299870,2021-12-03,카드구매
138,구매/기타,사회복지학과 물품 구입(1203),107100,2021-12-03,카드구매
139,구매/기타,(일반대학원)사무용품 구입,109000,2021-12-03,카드구매
140,구매/기타,[문헌정보학과] 수업용 재료 구입_21.12.03,314400,2021-12-03,카드구매
141,구매/기타,(체육진흥원-시체육회)배드민턴부 훈련용품(라켓등) 구매,6900000,2021-12-03,동승통상
142,구매/기타,[문헌정보학과] 수업용 재료 구입_21.12.03,91260,2021-12-03,카드구매
143,구매/기타,(해양학과) 연구실 체험사업 실험실습비 지출요청 (해양환경생물학연구실),599940,2021-12-02,카드구매
144,구매/기타,(통합)2021-2 기숙사 기말고사기간 간식배부 행사 물품 구입,9720000,2021-12-02,고산실업(주)
145,구매/기타,트라이버시티 홍보용 기념품 구매,687500,2021-12-02,카드구매
146,자산,공과대학 공학기술 연구소 회의실 회의 테이블.의자 구매,4612300,2021-12-02,비엔씨
